request_id,timestamp,customer_id,api_key,source_ip,model_id,provider,channel_id,input_tokens,output_tokens,total_tokens,first_token_latency_ms,latency_ms,status_code,error_code,estimated_cost,data_origin,cost_origin,safety_hit
req_006658,2026-07-01 00:32:07,C001,key_c001_1,10.45.16.59,DeepSeek-V4,DeepSeek,app,151,349,500,435,1494,200,,0.0006,synthetic_calibrated,synthetic_assumption,False
req_004406,2026-07-01 00:32:28,C002,key_c002_3,10.100.130.233,DeepSeek-V4,DeepSeek,app,505,356,861,447,1686,200,,0.001033,synthetic_calibrated,synthetic_assumption,False
req_004687,2026-07-01 00:32:52,C009,key_c009_3,10.48.202.163,DeepSeek-V4,DeepSeek,web,139,173,312,528,1389,200,,0.000374,synthetic_calibrated,synthetic_assumption,False
req_008861,2026-07-01 00:34:08,C009,key_c009_1,10.82.118.33,DeepSeek-V4,DeepSeek,web,120,128,248,289,1056,200,,0.000298,synthetic_calibrated,synthetic_assumption,False
req_005437,2026-07-01 00:34:13,C001,key_c001_1,10.49.42.97,DeepSeek-V4,DeepSeek,api,756,197,953,666,1694,200,,0.001144,synthetic_calibrated,synthetic_assumption,False
req_006687,2026-07-01 00:34:52,C006,key_c006_1,10.32.214.220,DeepSeek-V4,DeepSeek,api,1207,50,1257,475,1230,200,,0.001508,synthetic_calibrated,synthetic_assumption,False
req_008500,2026-07-01 00:37:00,C005,key_c005_2,10.153.232.74,DeepSeek-V4,DeepSeek,app,74,391,465,225,1200,200,,0.000558,synthetic_calibrated,synthetic_assumption,False
req_008357,2026-07-01 00:37:04,C004,key_c004_1,10.156.24.70,DeepSeek-V4,DeepSeek,api,163,130,293,377,1538,200,,0.000352,synthetic_calibrated,synthetic_assumption,False
req_003353,2026-07-01 00:38:10,C005,key_c005_2,10.118.56.57,DeepSeek-V4,DeepSeek,api,177,192,369,357,1491,200,,0.000443,synthetic_calibrated,synthetic_assumption,False
req_001849,2026-07-01 00:38:14,C001,key_c001_3,10.28.133.7,DeepSeek-V4,DeepSeek,api,438,171,609,586,2098,200,,0.000731,synthetic_calibrated,synthetic_assumption,False
req_000249,2026-07-01 00:39:05,C001,key_c001_1,10.26.58.19,DeepSeek-V4,DeepSeek,app,486,109,595,529,1762,200,,0.000714,synthetic_calibrated,synthetic_assumption,False
req_001501,2026-07-01 00:40:56,C003,key_c003_2,10.38.174.64,DeepSeek-V4,DeepSeek,web,325,229,554,652,1219,200,,0.000665,synthetic_calibrated,synthetic_assumption,False
req_009897,2026-07-01 00:41:30,C002,key_c002_1,10.30.201.159,DeepSeek-V4,DeepSeek,api,388,144,532,592,1692,200,,0.000638,synthetic_calibrated,synthetic_assumption,False
req_007525,2026-07-01 00:41:34,C008,key_c008_3,10.174.6.90,DeepSeek-V4,DeepSeek,api,664,123,787,601,1698,200,,0.000944,synthetic_calibrated,synthetic_assumption,False
req_001162,2026-07-01 00:41:45,C001,key_c001_2,10.70.204.176,DeepSeek-V4,DeepSeek,api,145,266,411,744,1863,200,,0.000493,synthetic_calibrated,synthetic_assumption,False
req_005107,2026-07-01 00:43:47,C001,key_c001_1,10.149.124.84,DeepSeek-V4,DeepSeek,web,432,504,936,550,1530,200,,0.001123,synthetic_calibrated,synthetic_assumption,False
req_000728,2026-07-01 00:44:34,C005,key_c005_2,10.14.151.115,Minimax-M2.5,MiniMax,api,112,139,251,423,1847,200,,0.000602,synthetic_calibrated,synthetic_assumption,False
req_002037,2026-07-01 00:47:02,C001,key_c001_2,10.184.31.83,DeepSeek-V4,DeepSeek,api,471,249,720,322,1681,200,,0.000864,synthetic_calibrated,synthetic_assumption,False
req_001773,2026-07-01 00:47:02,C001,key_c001_3,10.58.227.156,DeepSeek-V4,DeepSeek,api,253,108,361,275,990,200,,0.000433,synthetic_calibrated,synthetic_assumption,False
req_007765,2026-07-01 00:47:32,C001,key_c001_3,10.139.209.44,DeepSeek-V4,DeepSeek,app,1011,235,1246,686,1520,200,,0.001495,synthetic_calibrated,synthetic_assumption,False
req_000468,2026-07-01 00:48:32,C003,key_c003_2,10.56.6.28,Minimax-M2.5,MiniMax,web,180,243,423,375,1447,200,,0.001015,synthetic_calibrated,synthetic_assumption,False
req_001069,2026-07-01 00:48:55,C002,key_c002_1,10.166.148.30,DeepSeek-V4,DeepSeek,app,187,100,287,631,1425,200,,0.000344,synthetic_calibrated,synthetic_assumption,False
req_000376,2026-07-01 00:48:57,C009,key_c009_2,10.228.60.192,DeepSeek-V4,DeepSeek,api,163,150,313,676,2073,200,,0.000376,synthetic_calibrated,synthetic_assumption,False
req_001379,2026-07-01 00:49:34,C006,key_c006_2,10.60.202.32,DeepSeek-V4,DeepSeek,api,641,419,1060,434,1518,200,,0.001272,synthetic_calibrated,synthetic_assumption,False
req_005895,2026-07-01 00:51:00,C006,key_c006_1,10.181.189.89,DeepSeek-V4,DeepSeek,web,1039,79,1118,302,1287,200,,0.001342,synthetic_calibrated,synthetic_assumption,False
req_000740,2026-07-01 00:51:21,C002,key_c002_2,10.133.95.223,DeepSeek-V4,DeepSeek,app,149,127,276,453,1332,200,,0.000331,synthetic_calibrated,synthetic_assumption,False
req_003618,2026-07-01 00:51:26,C002,key_c002_2,10.242.113.14,DeepSeek-V4,DeepSeek,api,210,185,395,691,1830,200,,0.000474,synthetic_calibrated,synthetic_assumption,False
req_000703,2026-07-01 00:53:07,C006,key_c006_1,10.53.125.57,DeepSeek-V4,DeepSeek,api,313,100,413,366,1110,200,,0.000496,synthetic_calibrated,synthetic_assumption,False
req_004287,2026-07-01 00:55:33,C002,key_c002_3,10.62.102.243,DeepSeek-V4,DeepSeek,api,325,109,434,531,1565,200,,0.000521,synthetic_calibrated,synthetic_assumption,False
req_001917,2026-07-01 00:56:39,C001,key_c001_1,10.223.251.133,DeepSeek-V4,DeepSeek,app,81,284,365,316,1417,200,,0.000438,synthetic_calibrated,synthetic_assumption,False
req_005790,2026-07-01 00:57:42,C004,key_c004_3,10.56.247.186,DeepSeek-V4,DeepSeek,api,317,279,596,191,449,200,,0.000715,synthetic_calibrated,synthetic_assumption,False
req_007089,2026-07-01 00:58:14,C004,key_c004_2,10.18.94.1,DeepSeek-V4,DeepSeek,api,303,193,496,397,1477,200,,0.000595,synthetic_calibrated,synthetic_assumption,False
req_007633,2026-07-01 00:58:44,C010,key_c010_2,10.183.110.161,DeepSeek-V4,DeepSeek,api,238,168,406,531,1396,200,,0.000487,synthetic_calibrated,synthetic_assumption,False
req_007804,2026-07-01 00:59:59,C001,key_c001_3,10.65.81.131,DeepSeek-V4,DeepSeek,api,1356,129,1485,498,1621,200,,0.001782,synthetic_calibrated,synthetic_assumption,False
req_003651,2026-07-01 01:01:35,C007,key_c007_3,10.84.62.25,DeepSeek-V4,DeepSeek,api,635,601,1236,491,1474,200,,0.001483,synthetic_calibrated,synthetic_assumption,False
req_003439,2026-07-01 01:02:47,C001,key_c001_3,10.241.36.191,DeepSeek-V4,DeepSeek,api,1000,151,1151,537,1676,200,,0.001381,synthetic_calibrated,synthetic_assumption,False
req_005198,2026-07-01 01:03:47,C004,key_c004_1,10.234.96.168,Minimax-M2.5,MiniMax,app,631,119,750,345,1033,200,,0.0018,synthetic_calibrated,synthetic_assumption,False
req_003790,2026-07-01 01:06:31,C004,key_c004_3,10.78.201.190,DeepSeek-V4,DeepSeek,api,2073,124,2197,319,1456,200,,0.002636,synthetic_calibrated,synthetic_assumption,False
req_003015,2026-07-01 01:07:09,C001,key_c001_3,10.38.226.137,DeepSeek-V4,DeepSeek,api,369,304,673,346,1765,200,,0.000808,synthetic_calibrated,synthetic_assumption,False
req_009685,2026-07-01 01:09:30,C009,key_c009_1,10.190.171.224,DeepSeek-V4,DeepSeek,app,482,191,673,619,1314,200,,0.000808,synthetic_calibrated,synthetic_assumption,False
req_006362,2026-07-01 01:10:20,C002,key_c002_2,10.69.20.167,Qwen3.6-35B-A3B,Qwen,app,425,193,618,570,2041,200,,0.000989,synthetic_calibrated,synthetic_assumption,False
req_001750,2026-07-01 01:10:30,C007,key_c007_3,10.55.44.237,DeepSeek-V4,DeepSeek,app,651,165,816,530,2170,200,,0.000979,synthetic_calibrated,synthetic_assumption,False
req_004206,2026-07-01 01:10:51,C003,key_c003_3,10.164.243.142,DeepSeek-V4,DeepSeek,web,872,342,1214,531,926,200,,0.001457,synthetic_calibrated,synthetic_assumption,False
req_003891,2026-07-01 01:12:23,C009,key_c009_3,10.51.35.185,DeepSeek-V4,DeepSeek,app,296,358,654,508,1976,200,,0.000785,synthetic_calibrated,synthetic_assumption,False
req_007533,2026-07-01 01:13:23,C003,key_c003_3,10.57.110.193,DeepSeek-V4,DeepSeek,api,1002,382,1384,426,1364,503,SERVICE_UNAVAILABLE,0.001661,synthetic_calibrated,synthetic_assumption,False
req_000373,2026-07-01 01:15:18,C003,key_c003_3,10.176.144.55,DeepSeek-V4,DeepSeek,app,296,119,415,429,1393,400,BAD_REQUEST,0.000498,synthetic_calibrated,synthetic_assumption,False
req_003749,2026-07-01 01:15:42,C005,key_c005_1,10.60.60.173,DeepSeek-V4,DeepSeek,web,1287,121,1408,587,1247,200,,0.00169,synthetic_calibrated,synthetic_assumption,False
req_002211,2026-07-01 01:16:03,C003,key_c003_3,10.78.166.52,DeepSeek-V4,DeepSeek,api,1831,222,2053,619,2317,200,,0.002464,synthetic_calibrated,synthetic_assumption,False
req_007936,2026-07-01 01:16:18,C005,key_c005_2,10.252.241.12,DeepSeek-V4,DeepSeek,api,534,270,804,474,1886,200,,0.000965,synthetic_calibrated,synthetic_assumption,False
req_005096,2026-07-01 01:17:10,C001,key_c001_1,10.41.18.165,DeepSeek-V4,DeepSeek,api,521,123,644,440,1484,200,,0.000773,synthetic_calibrated,synthetic_assumption,False
req_007995,2026-07-01 01:17:49,C002,key_c002_1,10.150.203.186,DeepSeek-V4,DeepSeek,api,765,94,859,353,1383,200,,0.001031,synthetic_calibrated,synthetic_assumption,False
req_008284,2026-07-01 01:20:14,C001,key_c001_1,10.23.115.176,DeepSeek-V4,DeepSeek,web,540,36,576,437,1254,200,,0.000691,synthetic_calibrated,synthetic_assumption,False
req_004033,2026-07-01 01:22:30,C003,key_c003_3,10.98.144.225,DeepSeek-V4,DeepSeek,api,214,168,382,514,2262,200,,0.000458,synthetic_calibrated,synthetic_assumption,False
req_002767,2026-07-01 01:22:49,C004,key_c004_2,10.148.188.22,DeepSeek-V4,DeepSeek,api,427,433,860,508,1470,200,,0.001032,synthetic_calibrated,synthetic_assumption,False
req_005388,2026-07-01 01:23:02,C006,key_c006_2,10.200.171.251,DeepSeek-V4,DeepSeek,app,473,114,587,529,1880,200,,0.000704,synthetic_calibrated,synthetic_assumption,False
req_007745,2026-07-01 01:24:03,C004,key_c004_3,10.57.183.175,DeepSeek-V4,DeepSeek,web,260,388,648,281,1756,200,,0.000778,synthetic_calibrated,synthetic_assumption,False
req_000334,2026-07-01 01:24:14,C004,key_c004_1,10.59.187.162,DeepSeek-V4,DeepSeek,api,194,149,343,497,1126,200,,0.000412,synthetic_calibrated,synthetic_assumption,False
req_008970,2026-07-01 01:24:39,C002,key_c002_1,10.160.52.178,DeepSeek-V4,DeepSeek,web,862,309,1171,625,1499,400,BAD_REQUEST,0.001405,synthetic_calibrated,synthetic_assumption,False
req_007027,2026-07-01 01:26:04,C005,key_c005_3,10.231.232.110,DeepSeek-V4,DeepSeek,app,567,489,1056,415,1217,200,,0.001267,synthetic_calibrated,synthetic_assumption,False
req_006632,2026-07-01 01:26:26,C002,key_c002_1,10.148.51.88,DeepSeek-V4,DeepSeek,app,383,807,1190,370,1413,200,,0.001428,synthetic_calibrated,synthetic_assumption,False
req_007689,2026-07-01 01:26:37,C005,key_c005_1,10.165.242.29,DeepSeek-V4,DeepSeek,web,334,143,477,482,1611,200,,0.000572,synthetic_calibrated,synthetic_assumption,False
req_004442,2026-07-01 01:27:38,C002,key_c002_1,10.33.151.13,DeepSeek-V4,DeepSeek,api,491,138,629,520,2121,200,,0.000755,synthetic_calibrated,synthetic_assumption,False
req_006586,2026-07-01 01:28:04,C005,key_c005_2,10.84.231.71,DeepSeek-V4,DeepSeek,web,545,347,892,683,1111,200,,0.00107,synthetic_calibrated,synthetic_assumption,False
req_004081,2026-07-01 01:29:04,C004,key_c004_2,10.94.24.57,DeepSeek-V4,DeepSeek,app,459,254,713,288,990,200,,0.000856,synthetic_calibrated,synthetic_assumption,False
req_006354,2026-07-01 01:30:33,C004,key_c004_3,10.87.2.85,DeepSeek-V4,DeepSeek,api,133,40,173,622,1674,200,,0.000208,synthetic_calibrated,synthetic_assumption,False
req_006968,2026-07-01 01:30:43,C008,key_c008_3,10.129.37.44,DeepSeek-V4,DeepSeek,web,207,151,358,288,1107,503,SERVICE_UNAVAILABLE,0.00043,synthetic_calibrated,synthetic_assumption,False
req_004254,2026-07-01 01:32:37,C006,key_c006_3,10.126.234.91,DeepSeek-V4,DeepSeek,app,676,320,996,519,1965,200,,0.001195,synthetic_calibrated,synthetic_assumption,False
req_001021,2026-07-01 01:32:38,C004,key_c004_2,10.31.220.53,DeepSeek-V4,DeepSeek,api,917,121,1038,494,1516,200,,0.001246,synthetic_calibrated,synthetic_assumption,False
req_001982,2026-07-01 01:32:49,C008,key_c008_1,10.209.144.113,DeepSeek-V4,DeepSeek,api,237,79,316,222,606,200,,0.000379,synthetic_calibrated,synthetic_assumption,False
req_004993,2026-07-01 01:33:28,C005,key_c005_3,10.169.235.17,DeepSeek-V4,DeepSeek,api,374,111,485,602,1702,200,,0.000582,synthetic_calibrated,synthetic_assumption,False
req_006833,2026-07-01 01:33:51,C006,key_c006_1,10.22.97.165,DeepSeek-V4,DeepSeek,app,840,218,1058,429,1843,200,,0.00127,synthetic_calibrated,synthetic_assumption,False
req_009864,2026-07-01 01:35:33,C007,key_c007_3,10.111.131.202,DeepSeek-V4,DeepSeek,api,1204,198,1402,386,1310,200,,0.001682,synthetic_calibrated,synthetic_assumption,False
req_007670,2026-07-01 01:36:16,C001,key_c001_2,10.185.152.88,DeepSeek-V4,DeepSeek,app,287,67,354,587,1656,200,,0.000425,synthetic_calibrated,synthetic_assumption,False
req_004569,2026-07-01 01:37:25,C004,key_c004_3,10.214.197.6,DeepSeek-V4,DeepSeek,app,339,411,750,417,1783,200,,0.0009,synthetic_calibrated,synthetic_assumption,False
req_007353,2026-07-01 01:38:12,C001,key_c001_3,10.55.91.201,Qwen3.6-35B-A3B,Qwen,app,725,671,1396,569,1685,429,RATE_LIMIT,0.002234,synthetic_calibrated,synthetic_assumption,False
req_007673,2026-07-01 01:38:59,C002,key_c002_2,10.71.224.111,DeepSeek-V4,DeepSeek,app,694,196,890,420,1299,200,,0.001068,synthetic_calibrated,synthetic_assumption,False
req_009637,2026-07-01 01:40:03,C008,key_c008_2,10.253.176.54,DeepSeek-V4,DeepSeek,app,522,120,642,677,1633,200,,0.00077,synthetic_calibrated,synthetic_assumption,False
req_008941,2026-07-01 01:40:31,C010,key_c010_3,10.154.85.42,DeepSeek-V4,DeepSeek,app,671,190,861,482,1265,200,,0.001033,synthetic_calibrated,synthetic_assumption,False
req_007792,2026-07-01 01:41:47,C002,key_c002_3,10.9.170.66,Minimax-M2.5,MiniMax,web,301,166,467,455,1582,200,,0.001121,synthetic_calibrated,synthetic_assumption,False
req_008708,2026-07-01 01:41:52,C010,key_c010_2,10.169.82.211,DeepSeek-V4,DeepSeek,api,104,115,219,396,1623,200,,0.000263,synthetic_calibrated,synthetic_assumption,False
req_006041,2026-07-01 01:42:25,C001,key_c001_1,10.141.89.55,DeepSeek-V4,DeepSeek,web,298,156,454,318,962,200,,0.000545,synthetic_calibrated,synthetic_assumption,False
req_002728,2026-07-01 01:43:57,C003,key_c003_3,10.151.89.62,DeepSeek-V4,DeepSeek,api,379,118,497,418,938,200,,0.000596,synthetic_calibrated,synthetic_assumption,False
req_007762,2026-07-01 01:44:20,C002,key_c002_3,10.120.69.225,DeepSeek-V4,DeepSeek,web,411,105,516,512,1528,200,,0.000619,synthetic_calibrated,synthetic_assumption,True
req_000511,2026-07-01 01:47:38,C002,key_c002_2,10.251.219.56,DeepSeek-V4,DeepSeek,api,830,508,1338,447,1076,200,,0.001606,synthetic_calibrated,synthetic_assumption,False
req_002121,2026-07-01 01:48:43,C004,key_c004_3,10.119.32.166,Qwen3.6-35B-A3B,Qwen,api,616,95,711,80,805,200,,0.001138,synthetic_calibrated,synthetic_assumption,False
req_006372,2026-07-01 01:48:57,C009,key_c009_3,10.228.71.124,DeepSeek-V4,DeepSeek,app,366,232,598,611,2169,200,,0.000718,synthetic_calibrated,synthetic_assumption,False
req_008601,2026-07-01 01:49:31,C001,key_c001_3,10.89.203.102,DeepSeek-V4,DeepSeek,web,85,189,274,510,1694,200,,0.000329,synthetic_calibrated,synthetic_assumption,False
req_003132,2026-07-01 01:49:31,C005,key_c005_1,10.37.200.34,DeepSeek-V4,DeepSeek,api,391,165,556,482,1234,200,,0.000667,synthetic_calibrated,synthetic_assumption,False
req_005342,2026-07-01 01:49:59,C004,key_c004_2,10.136.250.84,DeepSeek-V4,DeepSeek,app,180,195,375,465,2136,200,,0.00045,synthetic_calibrated,synthetic_assumption,False
req_000304,2026-07-01 01:50:22,C001,key_c001_2,10.195.45.192,DeepSeek-V4,DeepSeek,api,706,123,829,394,1446,200,,0.000995,synthetic_calibrated,synthetic_assumption,False
req_006535,2026-07-01 01:53:01,C009,key_c009_1,10.67.176.75,DeepSeek-V4,DeepSeek,api,994,193,1187,749,1815,200,,0.001424,synthetic_calibrated,synthetic_assumption,False
req_001456,2026-07-01 01:55:25,C002,key_c002_3,10.46.165.89,DeepSeek-V4,DeepSeek,web,1644,257,1901,495,1280,200,,0.002281,synthetic_calibrated,synthetic_assumption,False
req_000216,2026-07-01 01:55:42,C003,key_c003_3,10.245.18.134,DeepSeek-V4,DeepSeek,web,200,241,441,529,1243,200,,0.000529,synthetic_calibrated,synthetic_assumption,False
req_005533,2026-07-01 01:57:02,C002,key_c002_1,10.216.28.201,DeepSeek-V4,DeepSeek,web,111,180,291,427,2037,200,,0.000349,synthetic_calibrated,synthetic_assumption,False
req_004128,2026-07-01 01:57:33,C005,key_c005_2,10.25.121.205,DeepSeek-V4,DeepSeek,api,284,111,395,536,1883,200,,0.000474,synthetic_calibrated,synthetic_assumption,False
req_008530,2026-07-01 01:57:39,C010,key_c010_2,10.73.33.89,DeepSeek-V4,DeepSeek,api,376,257,633,486,1442,400,BAD_REQUEST,0.00076,synthetic_calibrated,synthetic_assumption,False
req_007061,2026-07-01 01:58:24,C001,key_c001_2,10.5.89.226,DeepSeek-V4,DeepSeek,app,396,90,486,547,1883,200,,0.000583,synthetic_calibrated,synthetic_assumption,False
req_007361,2026-07-01 01:58:33,C001,key_c001_2,10.86.218.51,DeepSeek-V4,DeepSeek,app,576,125,701,406,904,500,INTERNAL_ERROR,0.000841,synthetic_calibrated,synthetic_assumption,False
req_007618,2026-07-01 01:58:40,C004,key_c004_2,10.8.85.240,DeepSeek-V4,DeepSeek,web,224,314,538,597,1060,200,,0.000646,synthetic_calibrated,synthetic_assumption,False
req_009932,2026-07-01 01:58:49,C002,key_c002_3,10.83.18.67,DeepSeek-V4,DeepSeek,api,457,241,698,397,1708,200,,0.000838,synthetic_calibrated,synthetic_assumption,True
req_001662,2026-07-01 01:59:46,C001,key_c001_3,10.179.64.97,DeepSeek-V4,DeepSeek,api,323,194,517,538,1617,200,,0.00062,synthetic_calibrated,synthetic_assumption,False
req_004986,2026-07-01 01:59:47,C010,key_c010_1,10.201.82.223,DeepSeek-V4,DeepSeek,api,716,154,870,308,862,200,,0.001044,synthetic_calibrated,synthetic_assumption,False
req_009091,2026-07-01 01:59:56,C008,key_c008_3,10.68.180.164,DeepSeek-V4,DeepSeek,web,672,103,775,464,1752,200,,0.00093,synthetic_calibrated,synthetic_assumption,False
req_004083,2026-07-01 02:00:11,C002,key_c002_1,10.242.205.132,DeepSeek-V4,DeepSeek,app,162,225,387,381,1316,200,,0.000464,synthetic_calibrated,synthetic_assumption,False
req_004390,2026-07-01 02:00:17,C001,key_c001_1,10.164.52.52,DeepSeek-V4,DeepSeek,app,240,164,404,546,1606,200,,0.000485,synthetic_calibrated,synthetic_assumption,False
req_000105,2026-07-01 02:01:38,C006,key_c006_3,10.16.64.41,DeepSeek-V4,DeepSeek,api,85,161,246,403,1178,200,,0.000295,synthetic_calibrated,synthetic_assumption,False
req_001754,2026-07-01 02:01:43,C001,key_c001_1,10.226.97.134,DeepSeek-V4,DeepSeek,app,513,150,663,649,1503,200,,0.000796,synthetic_calibrated,synthetic_assumption,False
req_007985,2026-07-01 02:02:07,C006,key_c006_1,10.21.239.43,DeepSeek-V4,DeepSeek,app,821,216,1037,684,2158,200,,0.001244,synthetic_calibrated,synthetic_assumption,False
req_002796,2026-07-01 02:05:05,C008,key_c008_2,10.93.195.26,DeepSeek-V4,DeepSeek,api,899,294,1193,565,1417,200,,0.001432,synthetic_calibrated,synthetic_assumption,False
req_005242,2026-07-01 02:05:34,C001,key_c001_2,10.226.96.89,DeepSeek-V4,DeepSeek,api,582,222,804,545,1059,200,,0.000965,synthetic_calibrated,synthetic_assumption,False
req_007652,2026-07-01 02:06:40,C007,key_c007_1,10.206.95.34,DeepSeek-V4,DeepSeek,web,206,612,818,379,1147,200,,0.000982,synthetic_calibrated,synthetic_assumption,False
req_009195,2026-07-01 02:07:37,C001,key_c001_1,10.104.116.210,DeepSeek-V4,DeepSeek,api,283,161,444,599,1154,200,,0.000533,synthetic_calibrated,synthetic_assumption,False
req_008149,2026-07-01 02:07:42,C007,key_c007_1,10.56.231.74,DeepSeek-V4,DeepSeek,app,324,190,514,518,1945,200,,0.000617,synthetic_calibrated,synthetic_assumption,False
req_002776,2026-07-01 02:07:48,C004,key_c004_3,10.129.43.18,DeepSeek-V4,DeepSeek,web,426,313,739,621,1763,200,,0.000887,synthetic_calibrated,synthetic_assumption,False
req_006034,2026-07-01 02:08:17,C002,key_c002_1,10.217.160.238,DeepSeek-V4,DeepSeek,api,293,111,404,469,1458,200,,0.000485,synthetic_calibrated,synthetic_assumption,False
req_000849,2026-07-01 02:08:36,C002,key_c002_1,10.25.182.244,DeepSeek-V4,DeepSeek,api,502,88,590,442,1596,200,,0.000708,synthetic_calibrated,synthetic_assumption,False
req_007169,2026-07-01 02:10:16,C002,key_c002_2,10.228.165.2,DeepSeek-V4,DeepSeek,app,1403,273,1676,452,1566,200,,0.002011,synthetic_calibrated,synthetic_assumption,False
req_006908,2026-07-01 02:10:21,C004,key_c004_2,10.66.109.83,DeepSeek-V4,DeepSeek,api,79,435,514,520,1149,200,,0.000617,synthetic_calibrated,synthetic_assumption,False
req_002191,2026-07-01 02:10:34,C001,key_c001_3,10.198.235.231,DeepSeek-V4,DeepSeek,api,268,229,497,206,623,200,,0.000596,synthetic_calibrated,synthetic_assumption,False
req_001219,2026-07-01 02:10:36,C003,key_c003_1,10.94.166.49,DeepSeek-V4,DeepSeek,api,719,355,1074,787,2088,200,,0.001289,synthetic_calibrated,synthetic_assumption,False
req_009151,2026-07-01 02:10:38,C005,key_c005_3,10.91.146.238,DeepSeek-V4,DeepSeek,api,265,126,391,617,1604,200,,0.000469,synthetic_calibrated,synthetic_assumption,False
req_005870,2026-07-01 02:13:33,C001,key_c001_2,10.188.176.34,DeepSeek-V4,DeepSeek,api,434,279,713,234,1371,200,,0.000856,synthetic_calibrated,synthetic_assumption,False
req_008047,2026-07-01 02:16:04,C004,key_c004_1,10.250.66.2,DeepSeek-V4,DeepSeek,api,533,298,831,486,1351,200,,0.000997,synthetic_calibrated,synthetic_assumption,False
req_004457,2026-07-01 02:17:37,C001,key_c001_2,10.247.6.191,DeepSeek-V4,DeepSeek,web,753,232,985,316,1552,200,,0.001182,synthetic_calibrated,synthetic_assumption,False
